"Syear","Ryear","R","S","SSTanom"
1963,1964,818312.850262285,151741.870414239,-0.717483382700826
1964,1965,1058115.4431962,162969.250935717,-0.365571278796353
1965,1966,1292385.12077171,199137.408548167,-0.661087777592586
1966,1967,1093615.78689499,221514.646631144,-0.315367986347911
1967,1968,553490.57334936,250001.993464623,0.181368252467061
1968,1969,489431.601582794,260935.008925121,0.0848462937910478
1969,1970,1586435.12933274,257715.888923263,-0.199922944691417
1970,1971,2069877.53157296,270577.220535665,-0.456296558698717
1971,1972,517621.728181463,274662.885233656,0.100906745151897
1972,1973,746387.36466315,243233.403662452,0.0949671713818561
1973,1974,727958.994968676,210997.618260399,0.48439022524907
1974,1975,1242952.30639241,229916.2437807,0.274972654694777
1975,1976,850007.115833261,210151.430104618,0.343829817296122
1976,1977,2101159.72445425,180020.276361863,0.353219922030103
1977,1978,1342440.78985303,154203.646274124,-0.175362512571733
1978,1979,1638022.04206705,156034.325166306,-0.550142729941567
1979,1980,2626072.65232835,157273.596474059,-0.95693940487956
1980,1981,1059174.08787352,173340.123563535,-0.0348899720831232
1981,1982,1732368.31759962,187848.908893014,-0.167252624432071
1982,1983,951695.110120447,182210.787679197,0.285818827803056
1983,1984,1701464.65523846,153638.738918385,-0.0312361214229039
1984,1985,417901.066299953,132021.253243128,-0.255785560612102
1985,1986,1852413.60854222,133191.118353317,-0.517736121590583
1986,1987,709985.623343134,117690.809417806,-0.889192154123495
1987,1988,488453.716590582,122660.454582203,-0.669137208544553
1988,1989,826537.031134543,122122.90758098,0.2395001086518
1989,1990,330050.185779614,109508.433763527,0.756686921167898
1990,1991,378510.843476448,99307.2304572612,0.932450614128532
1991,1992,858549.829370117,96173.5094705294,0.227153991862706
1992,1993,438888.204424169,91747.5469229572,0.724626483493847
1993,1994,1024791.77133517,99320.1623192702,-0.0761756980854076
1994,1995,601390.648581415,102926.812553217,0.323379232067066
1995,1996,379648.08101025,122206.273461448,0.719555048885974
1996,1997,1162403.03242866,118252.507688743,-0.545554805592128
1997,1998,143918.147959491,103058.344082849,1.00005506892361
1998,1999,252963.376420477,104206.597239574,0.567642963321392
1999,2000,461852.105107511,87499.3420183976,1.02220338988671
2000,2001,170075.885206408,69371.9841230682,0.596467125018612
2001,2002,248450.770933977,64733.152251536,0.50154958452078
2002,2003,125241.606158151,57697.7472991602,1.48665395673396
2003,2004,202804.958378824,58065.2806286031,1.42940118181417
2004,2005,156686.143891123,47208.9915674637,1.04312096480066
2005,2006,361132.425612181,48489.0639697993,0.479351806636433
2006,2007,170928.394128686,44163.0879582537,0.869802346068162
2007,2008,197008.075644654,72868.5925733953,1.20893414151118
2008,2009,197599.98729513,81024.3015112623,1.19631325752761
2009,2010,299539.028429691,90975.7771475445,1.09417044041812
2010,2011,150693.010000697,93293.3866051285,0.571664976283482
2011,2012,205869.962819191,105441.309000965,0.693829744984553
2012,2013,254995.199889335,106730.318871103,0.663066054958302
2013,2014,381169.714572572,118223.311980925,0.0208242893177075
